order.id	name	n_regionA	n_regionB	z_score	p_value	n_overlaps	mean_perm_test	sd_perm_test	norm_zscore	adj.p_value
1	1	1_TxnElo	1087	823	-2.5934	0.00699300699300699	29	46.337	6.68506702442998	-0.0786601435192745	0.0078
2	2	10_ZNFHet	1087	1468	6.2321	0.000999000999000999	68	33.772	5.49219265687031	0.189025171753864	0.0012
3	3	2_TxnTrn	1087	548	12.6787	0.000999000999000999	67	16.102	4.014437907318	0.384556320520485	0.0012
4	4	4_EnhAct	1087	1118	38.9048	0.000999000999000999	239	28.467	5.4114873366936	1.18001741019074	0.0012
5	5	4_K79Act	1087	577	-1.8504	0.025974025974026	18	27.635	5.20700373419185	-0.0561242884121484	0.026
6	6	5_EnhPoi	1087	4854	53.481	0.000999000999000999	574	89.528	9.05876797789177	1.62212660428562	0.0012
7	7	6_ProAct	1087	1268	57.581	0.000999000999000999	320	26.227	5.10191145557236	1.74648327445953	0.0012
8	8	7_LowSig	1087	3097	4.6173	0.000999000999000999	167	119.468	10.2944135797505	0.140046842242441	0.0012
9	9	8_LowSig	1087	3479	-41.6901	0.000999000999000999	219	823.119	14.4907149519898	-1.26449805249206	0.0012
10	10	9_BivPcG	1087	1194	3.7928	0.000999000999000999	61	38.24	6.00086747149197	0.115039019179419	0.0012
