order.id	name	n_regionA	n_regionB	z_score	p_value	n_overlaps	mean_perm_test	sd_perm_test	norm_zscore	adj.p_value
1	1	1_TxnElo	2564	823	-5.4194	0.000999000999000999	53	111.453	10.785829830158	-0.107026715212188	0.0012
2	2	10_ZNFHet	2564	1468	6.0706	0.000999000999000999	134	81.283	8.68402690710498	0.119887142002271	0.0012
3	3	2_TxnTrn	2564	548	9.6435	0.000999000999000999	98	38.531	6.1667712839109	0.190447674677775	0.0012
4	4	4_EnhAct	2564	1118	48.4397	0.000999000999000999	475	68.802	8.38564935560241	0.956626559557113	0.0012
5	5	4_K79Act	2564	577	-3.8078	0.001998001998002	36	66.019	7.88357722038605	-0.0751995287642486	0.0022
6	6	5_EnhPoi	2564	4854	74.5591	0.000999000999000999	1336	218.047	14.9941860938371	1.47245369638282	0.0012
7	7	6_ProAct	2564	1268	106.1176	0.000999000999000999	914	63.231	8.0172261359472	2.09569660002968	0.0012
8	8	7_LowSig	2564	3097	2.4359	0.00899100899100899	327	287.358	16.2742338279468	0.048106132705718	0.009
9	9	8_LowSig	2564	3479	-59.6466	0.000999000999000999	625	1946.299	22.1521176259814	-1.17794952791366	0.0012
10	10	9_BivPcG	2564	1194	6.2001	0.000999000999000999	148	90.678	9.24531188180214	0.122444613238935	0.0012
