order.id	name	n_regionA	n_regionB	z_score	p_value	n_overlaps	mean_perm_test	sd_perm_test	norm_zscore	adj.p_value
1	1	1_TxnElo	209	823	-1.6751	0.050949050949051	4	8.858	2.90004245593858	-0.115869089842206	0.0728
2	2	10_ZNFHet	209	1468	2.3782	0.01998001998002	12	6.322	2.38747063144576	0.16450353379663	0.04
3	3	2_TxnTrn	209	548	-0.0263	0.64035964035964	3	3.048	1.82236577476011	-0.00181920903996778	0.6404
4	4	4_EnhAct	209	1118	14.4873	0.000999000999000999	40	5.393	2.38877735615048	1.0021074952367	0.0025
5	5	4_K79Act	209	577	-1.7987	0.038961038961039	1	5.109	2.28436803894148	-0.124418680615591	0.0649
6	6	5_EnhPoi	209	4854	24.6768	0.000999000999000999	116	16.879	4.01677650529545	1.70692994819304	0.0025
7	7	6_ProAct	209	1268	10.4486	0.000999000999000999	29	4.956	2.3011647831825	0.722744774715107	0.0025
8	8	7_LowSig	209	3097	-1.077	0.178821178821179	18	22.916	4.56462263279012	-0.0744976477583762	0.2235
9	9	8_LowSig	209	3479	-13.3775	0.000999000999000999	75	158.205	6.21977979197501	-0.925341024036841	0.0025
10	10	9_BivPcG	209	1194	-0.1053	0.551448551448551	7	7.282	2.67836697441737	-0.00728375330450977	0.6127
