mgi_symbol,ensembl_gene_id,entrezgene_id,gene_biotype,chromosome_name,start_position,end_position
mt-Nd2,ENSMUSG00000064345,17717,protein_coding,MT,3914,4951
mt-Nd3,ENSMUSG00000064360,17718,protein_coding,MT,9459,9806
mt-Nd4,ENSMUSG00000064363,17719,protein_coding,MT,10167,11544
mt-Cytb,ENSMUSG00000064370,17711,protein_coding,MT,14145,15288
Fstl1,ENSMUSG00000022816,14314,protein_coding,16,37597235,37656876
Nde1,ENSMUSG00000022678,67203,protein_coding,16,13981139,14010792
Aldh7a1,ENSMUSG00000053644,110695,protein_coding,18,56642759,56706023
Hunk,ENSMUSG00000053414,26559,protein_coding,16,90182901,90296441
Urb1,ENSMUSG00000039929,207932,protein_coding,16,90548415,90607301
Klf9,ENSMUSG00000033863,16601,protein_coding,19,23118590,23145498
Rnf138,ENSMUSG00000024317,56515,protein_coding,18,21134398,21161281
Synj1,ENSMUSG00000022973,104015,protein_coding,16,90732980,90808196
Isoc1,ENSMUSG00000024601,66307,protein_coding,18,58792538,58813440
Ptar1,ENSMUSG00000074925,72351,protein_coding,19,23664793,23709032
Nsa2,ENSMUSG00000060739,59050,protein_coding,13,97265932,97274445
Smim3,ENSMUSG00000038059,106878,protein_coding,18,60607263,60635059
Pspc1,ENSMUSG00000021938,66645,protein_coding,14,56958167,57015773
Ndst1,ENSMUSG00000054008,15531,protein_coding,18,60817566,60881722
Zdhhc15,ENSMUSG00000033906,108672,protein_coding,X,103580575,103714670
Pkp2,ENSMUSG00000041957,67451,protein_coding,16,16031182,16090576
Lgals3,ENSMUSG00000050335,16854,protein_coding,14,47605208,47623617
Casp7,ENSMUSG00000025076,12369,protein_coding,19,56385561,56430776
Yars2,ENSMUSG00000022792,70120,protein_coding,16,16120829,16127504
Mapre2,ENSMUSG00000024277,212307,protein_coding,18,23885390,24026918
Ino80c,ENSMUSG00000047989,225280,protein_coding,18,24237814,24255010
Zmiz1,ENSMUSG00000007817,328365,protein_coding,14,25459609,25667167
Arel1,ENSMUSG00000042350,68497,protein_coding,12,84964922,85017674
Eef1akmt1,ENSMUSG00000021951,68043,protein_coding,14,57787054,57809069
Klf5,ENSMUSG00000005148,12224,protein_coding,14,99536127,99552472
Sf3b2,ENSMUSG00000024853,319322,protein_coding,19,5323960,5345483
Dock11,ENSMUSG00000031093,75974,protein_coding,X,35152485,35340215
Tbc1d31,ENSMUSG00000022364,210544,protein_coding,15,57775595,57833463
Lats2,ENSMUSG00000021959,50523,protein_coding,14,57927119,57995845
Ska3,ENSMUSG00000021965,219114,protein_coding,14,58044018,58063642
Naa50,ENSMUSG00000022698,72117,protein_coding,16,43960193,43983729
Usf3,ENSMUSG00000068284,207806,protein_coding,16,43993609,44047828
Thap11,ENSMUSG00000036442,59016,protein_coding,8,106581764,106583582
Arhgef7,ENSMUSG00000031511,54126,protein_coding,8,11777721,11885219
Drap1,ENSMUSG00000024914,66556,protein_coding,19,5472833,5475007
Tmem29,ENSMUSG00000041353,382245,protein_coding,X,149180769,149242150
Atg14,ENSMUSG00000037526,100504663,protein_coding,14,47778350,47808106
Fibp,ENSMUSG00000024911,58249,protein_coding,19,5510643,5515079
Fat1,ENSMUSG00000070047,14107,protein_coding,8,45388484,45505294
Phf11d,ENSMUSG00000068245,219132,protein_coding,14,59584856,59602919
1500009L16Rik,ENSMUSG00000087651,69784,protein_coding,10,83558729,83598626
Tuft1,ENSMUSG00000005968,22156,protein_coding,3,94520064,94566179
Nuak1,ENSMUSG00000020032,77976,protein_coding,10,84206769,84276461
Cfl1,ENSMUSG00000056201,12631,protein_coding,19,5540483,5545229
Yeats4,ENSMUSG00000020171,64050,protein_coding,10,117051126,117060412
Polr3b,ENSMUSG00000034453,70428,protein_coding,10,84458156,84563042
Haus7,ENSMUSG00000031371,73738,protein_coding,X,72480921,72502650
Fcho2,ENSMUSG00000041685,218503,protein_coding,13,98859911,98951957
Ppp1r1a,ENSMUSG00000022490,58200,protein_coding,15,103438706,103446430
Pcyox1l,ENSMUSG00000024579,240334,protein_coding,18,61829908,61840706
Prorp,ENSMUSG00000021023,66132,protein_coding,12,55346362,55429318
Tnpo1,ENSMUSG00000009470,238799,protein_coding,13,98975527,99062892
Cry1,ENSMUSG00000020038,12952,protein_coding,10,84967564,85020928
Rock2,ENSMUSG00000020580,19878,protein_coding,12,16944896,17037824
Fubp1,ENSMUSG00000028034,51886,protein_coding,3,151916059,151942463
Map1b,ENSMUSG00000052727,17755,protein_coding,13,99557954,99653048
Jarid2,ENSMUSG00000038518,16468,protein_coding,13,44882950,45075119
Srbd1,ENSMUSG00000024135,78586,protein_coding,17,86292093,86452603
Mdm2,ENSMUSG00000020184,17246,protein_coding,10,117524780,117546663
Kat5,ENSMUSG00000024926,81601,protein_coding,19,5653042,5660265
Dusp9,ENSMUSG00000031383,75590,protein_coding,X,72683025,72687120
Cript,ENSMUSG00000024146,56724,protein_coding,17,87332978,87343238
Socs5,ENSMUSG00000037104,56468,protein_coding,17,87415107,87445267
Foxp4,ENSMUSG00000023991,74123,protein_coding,17,48178058,48235570
Gab1,ENSMUSG00000031714,14388,protein_coding,8,81491067,81607148
Rela,ENSMUSG00000024927,19697,protein_coding,19,5687511,5698158
Bin1,ENSMUSG00000024381,30948,protein_coding,18,32510283,32568790
Myc,ENSMUSG00000022346,17869,protein_coding,15,61857240,61862223
Pcmtd1,ENSMUSG00000051285,319263,protein_coding,1,7159144,7243852
Bdp1,ENSMUSG00000049658,544971,protein_coding,13,100154502,100240578
Epb41l4a,ENSMUSG00000024376,13824,protein_coding,18,33929380,34140019
Brwd3,ENSMUSG00000063663,382236,protein_coding,X,107780622,107877978
Cdh3,ENSMUSG00000061048,12560,protein_coding,8,107237523,107283929
Rap1b,ENSMUSG00000052681,215449,protein_coding,10,117649776,117681940
Dppa2,ENSMUSG00000072419,73703,protein_coding,16,48124271,48140086
Cdh1,ENSMUSG00000000303,12550,protein_coding,8,107329983,107396878
Rexo2,ENSMUSG00000032026,104444,protein_coding,9,48379812,48391923
9330159F19Rik,ENSMUSG00000004360,212448,protein_coding,10,29087602,29106775
Ddx21,ENSMUSG00000020075,56200,protein_coding,10,62416030,62438060
Fgd1,ENSMUSG00000025265,14163,protein_coding,X,149829146,149872517
Cep170,ENSMUSG00000057335,545389,protein_coding,1,176561219,176641633
Ptbp2,ENSMUSG00000028134,56195,protein_coding,3,119512391,119578115
Ndufs6,ENSMUSG00000021606,407785,protein_coding,13,73467957,73476661
Ebpl,ENSMUSG00000021928,68177,protein_coding,14,61569191,61597888
Kpna3,ENSMUSG00000021929,16648,protein_coding,14,61602660,61677323
Ppid,ENSMUSG00000027804,67738,protein_coding,3,79498649,79510957
Bag5,ENSMUSG00000049792,70369,protein_coding,12,111675922,111679691
Fbxo7,ENSMUSG00000001786,69754,protein_coding,10,85857836,85887737
Vcpip1,ENSMUSG00000045210,70675,protein_coding,1,9788847,9818607
Clgn,ENSMUSG00000002190,12745,protein_coding,8,84116496,84155181
Nip7,ENSMUSG00000031917,66164,protein_coding,8,107783509,107787563
Reep5,ENSMUSG00000005873,13476,protein_coding,18,34477938,34507123
Scoc,ENSMUSG00000063253,56367,protein_coding,8,84156713,84185020
Terf2,ENSMUSG00000031921,21750,protein_coding,8,107796032,107823179
Spry2,ENSMUSG00000022114,24064,protein_coding,14,106129381,106134253
Fam13b,ENSMUSG00000036501,225358,protein_coding,18,34575404,34639884
Tecr,ENSMUSG00000031708,106529,protein_coding,8,84298327,84334600
Sox2,ENSMUSG00000074637,20674,protein_coding,3,34704554,34706610
Rnaseh2b,ENSMUSG00000021932,67153,protein_coding,14,62530038,62610441
Zbtb44,ENSMUSG00000047412,235132,protein_coding,9,30941940,30987181
Flywch1,ENSMUSG00000040097,224613,protein_coding,17,23971767,23990576
Kif13a,ENSMUSG00000021375,16553,protein_coding,13,46902563,47083343
Zfp534,ENSMUSG00000062518,100503584,protein_coding,4,147757959,147787010
Zfp984,ENSMUSG00000078495,100041677,protein_coding,4,147838431,147894245
Atp11b,ENSMUSG00000037400,76295,protein_coding,3,35808255,35910425
Ift57,ENSMUSG00000032965,73916,protein_coding,16,49519596,49585489
Sult4a1,ENSMUSG00000018865,29859,protein_coding,15,83960298,83989955
Lrrc1,ENSMUSG00000032352,214345,protein_coding,9,77338105,77452152
Apool,ENSMUSG00000025525,68117,protein_coding,X,111221031,111282452
Dna2,ENSMUSG00000036875,327762,protein_coding,10,62782805,62809964
Mcts1,ENSMUSG00000000355,68995,protein_coding,X,37689455,37702303
Dazl,ENSMUSG00000010592,13164,protein_coding,17,50586423,50600664
Chm,ENSMUSG00000025531,12662,protein_coding,X,111950290,112095214
Ldhb,ENSMUSG00000030246,16832,protein_coding,6,142435975,142453683
Plod1,ENSMUSG00000019055,18822,protein_coding,4,147994210,148021224
Marveld2,ENSMUSG00000021636,218518,protein_coding,13,100732465,100753479
Smyd4,ENSMUSG00000018809,319822,protein_coding,11,75239259,75296531
Marcksl1,ENSMUSG00000047945,17357,protein_coding,4,129407374,129409778
Hdac1,ENSMUSG00000028800,433759,protein_coding,4,129409897,129436506
Ncoa7,ENSMUSG00000039697,211329,protein_coding,10,30504995,30679322
Dnajb1,ENSMUSG00000005483,81489,protein_coding,8,84334822,84339282
Eif3i,ENSMUSG00000028798,54709,protein_coding,4,129485753,129494441
Nars,ENSMUSG00000024587,70223,protein_coding,18,64632718,64649723
Clcn6,ENSMUSG00000029016,26372,protein_coding,4,148088716,148123278
Nanog,ENSMUSG00000012396,71950,protein_coding,6,122684448,122691592
Gata2,ENSMUSG00000015053,14461,protein_coding,6,88170873,88184014
Bbx,ENSMUSG00000022641,70508,protein_coding,16,50012207,50252753
Rpl23,ENSMUSG00000071415,65019,protein_coding,11,97668353,97673263
Cpsf3,ENSMUSG00000054309,54451,protein_coding,12,21335392,21365057
Mif4gd,ENSMUSG00000020743,69674,protein_coding,11,115498744,115503795
Agtrap,ENSMUSG00000029007,11610,protein_coding,4,148161518,148172488
Arpc5,ENSMUSG00000008475,67771,protein_coding,1,152642293,152651348
Mettl4,ENSMUSG00000055660,76781,protein_coding,17,95030018,95057447
Gsta4,ENSMUSG00000032348,14860,protein_coding,9,78090056,78116631
Esrrb,ENSMUSG00000021255,26380,protein_coding,12,86407891,86568402
Lasp1,ENSMUSG00000038366,16796,protein_coding,11,97689826,97729590
Tpd52l1,ENSMUSG00000000296,21987,protein_coding,10,31208372,31321954
Acsl3,ENSMUSG00000032883,74205,protein_coding,1,78635542,78685460
Pdpk1,ENSMUSG00000024122,18607,protein_coding,17,24292654,24369898
Zyx,ENSMUSG00000029860,22793,protein_coding,6,42326564,42337147
Pptc7,ENSMUSG00000038582,320717,protein_coding,5,122422428,122462344
Cdk6,ENSMUSG00000040274,12571,protein_coding,5,3391485,3581008
Pura,ENSMUSG00000043991,19290,protein_coding,18,36414150,36425588
Fbxo6,ENSMUSG00000055401,50762,protein_coding,4,148230173,148236597
Dppa5a,ENSMUSG00000060461,434423,protein_coding,9,78274334,78275459
Fam216a,ENSMUSG00000029463,68948,protein_coding,5,122502643,122510427
Rab5a,ENSMUSG00000017831,271457,protein_coding,17,53786262,53814708
Cipc,ENSMUSG00000034157,217732,protein_coding,12,86993817,87012136
Kat2b,ENSMUSG00000000708,18519,protein_coding,17,53873889,53979748
Stag2,ENSMUSG00000025862,20843,protein_coding,X,41238194,41366062
Gclm,ENSMUSG00000028124,14630,protein_coding,3,122039206,122064381
Wnt7b,ENSMUSG00000022382,22422,protein_coding,15,85419638,85466674
BC005537,ENSMUSG00000019132,79555,protein_coding,13,24985640,25000180
Nqo1,ENSMUSG00000003849,18104,protein_coding,8,108114857,108129838
Extl3,ENSMUSG00000021978,54616,protein_coding,14,65289509,65387304
Nob1,ENSMUSG00000003848,67619,protein_coding,8,108139118,108151683
Ipo5,ENSMUSG00000030662,70572,protein_coding,14,121148636,121185411
Tcaf1,ENSMUSG00000036667,77574,protein_coding,6,42644936,42687022
Apbb3,ENSMUSG00000117679,225372,protein_coding,18,36804207,36812419
Aldh5a1,ENSMUSG00000035936,214579,protein_coding,13,25091562,25121644
Sirt1,ENSMUSG00000020063,93759,protein_coding,10,63154784,63217483
Sbk1,ENSMUSG00000042978,104175,protein_coding,7,125848034,125894188
Ceacam1,ENSMUSG00000074272,26365,protein_coding,7,25161132,25177028
Wwp2,ENSMUSG00000031930,66894,protein_coding,8,108162997,108285227
Dse,ENSMUSG00000039497,212898,protein_coding,10,34027389,34083711
Cryab,ENSMUSG00000032060,12955,protein_coding,9,50662625,50667936
Cacnb1,ENSMUSG00000020882,12295,protein_coding,11,97892334,97913860
Zfhx3,ENSMUSG00000038872,11906,protein_coding,8,108669276,109688262
Gstz1,ENSMUSG00000021033,14874,protein_coding,12,87193939,87211497
Arhgef5,ENSMUSG00000033542,54324,protein_coding,6,43242516,43266254
Reep3,ENSMUSG00000019873,28193,protein_coding,10,66844968,66932724
Rmnd5a,ENSMUSG00000002222,68477,protein_coding,6,71365618,71417621
Ddx39a,ENSMUSG00000005481,68278,protein_coding,8,84441806,84453521
Gramd4,ENSMUSG00000035900,223752,protein_coding,15,85941896,86021835
Slc43a2,ENSMUSG00000038178,215113,protein_coding,11,75422520,75468401
Atp2a2,ENSMUSG00000029467,11938,protein_coding,5,122591576,122640288
Klf11,ENSMUSG00000020653,194655,protein_coding,12,24701273,24712788
Exosc10,ENSMUSG00000017264,50912,protein_coding,4,148642886,148666858
Tpk1,ENSMUSG00000029735,29807,protein_coding,6,43321935,43643212
Jmjd1c,ENSMUSG00000037876,108829,protein_coding,10,66931904,67092105
Hspb11,ENSMUSG00000063172,72938,protein_coding,4,107110790,107137135
Dhodh,ENSMUSG00000031730,56749,protein_coding,8,110317975,110335305
Uhrf2,ENSMUSG00000024817,109113,protein_coding,19,30007913,30071122
Rad54l2,ENSMUSG00000040661,81000,protein_coding,9,106565281,106666393
Slc25a4,ENSMUSG00000031633,11739,protein_coding,8,46659834,46664321
Scyl1,ENSMUSG00000024941,78891,protein_coding,19,5808379,5821447
Zfp936,ENSMUSG00000064194,668620,protein_coding,7,42763653,42841533
Cdc42se1,ENSMUSG00000046722,57912,protein_coding,3,95136043,95143720
Marcks,ENSMUSG00000069662,17118,protein_coding,10,37009371,37014916
Sec24d,ENSMUSG00000039234,69608,protein_coding,3,123061104,123159290
Gldc,ENSMUSG00000024827,104174,protein_coding,19,30075847,30152829
Zbed4,ENSMUSG00000034333,223773,protein_coding,15,88635863,88668719
Rnps1,ENSMUSG00000034681,19826,protein_coding,17,24633539,24644875
Rtkn2,ENSMUSG00000037846,170799,protein_coding,10,67815400,67895570
Dcaf12l1,ENSMUSG00000045284,245404,protein_coding,X,43875447,43879074
Zfr,ENSMUSG00000022201,22763,protein_coding,15,12117917,12185769
Mnd1,ENSMUSG00000033752,76915,protein_coding,3,83995240,84063093
Senp6,ENSMUSG00000034252,215351,protein_coding,9,79974185,80052235
Mtmr12,ENSMUSG00000039458,268783,protein_coding,15,12205114,12274582
Fbxo33,ENSMUSG00000035329,70611,protein_coding,12,59247441,59266511
Etfb,ENSMUSG00000004610,110826,protein_coding,7,43093507,43107224
Gas2l3,ENSMUSG00000074802,237436,protein_coding,10,89244685,89279829
Mindy1,ENSMUSG00000038712,75007,protein_coding,3,95188656,95203477
Fgf4,ENSMUSG00000050917,14175,protein_coding,7,144401104,144418980
Trim35,ENSMUSG00000022043,66854,protein_coding,14,66534480,66548873
Atg2a,ENSMUSG00000024773,329015,protein_coding,19,6291698,6312365
Sox4,ENSMUSG00000076431,20677,protein_coding,13,29132902,29137696
Trim2,ENSMUSG00000027993,80890,protein_coding,3,84067746,84214184
Gns,ENSMUSG00000034707,75612,protein_coding,10,121200995,121233154
Ehd1,ENSMUSG00000024772,13660,protein_coding,19,6326755,6350126
Cdc16,ENSMUSG00000038416,69957,protein_coding,8,13807676,13831938
Cldn12,ENSMUSG00000046798,64945,protein_coding,5,5539537,5564958
Rtf1,ENSMUSG00000027304,76246,protein_coding,2,119505549,119565888
Tbk1,ENSMUSG00000020115,56480,protein_coding,10,121382360,121422692
Zfp532,ENSMUSG00000042439,328977,protein_coding,18,65712983,65822514
Prelid3b,ENSMUSG00000016257,66390,protein_coding,2,174306860,174314874
Champ1,ENSMUSG00000047710,101994,protein_coding,8,13919641,13931639
Fdx1,ENSMUSG00000032051,14148,protein_coding,9,51854606,51874856
Ap1g1,ENSMUSG00000031731,11765,protein_coding,8,110505186,110590836
Nabp1,ENSMUSG00000026107,109019,protein_coding,1,51505021,51517584
Tomm70a,ENSMUSG00000022752,28185,protein_coding,16,56942066,56977068
Atm,ENSMUSG00000034218,11920,protein_coding,9,53350449,53448040
Tcf15,ENSMUSG00000068079,21407,protein_coding,2,151985481,151991017
Prex2,ENSMUSG00000048960,109294,protein_coding,1,11063689,11373905
Rpl10l,ENSMUSG00000060499,238217,protein_coding,12,66330153,66331175
Dusp22,ENSMUSG00000069255,105352,protein_coding,13,30843982,30895214
Pcgf5,ENSMUSG00000024805,76073,protein_coding,19,36325709,36438370
Traf7,ENSMUSG00000052752,224619,protein_coding,17,24727536,24746912
Spin1,ENSMUSG00000021395,20729,protein_coding,13,51254916,51306582
Myo1c,ENSMUSG00000017774,17913,protein_coding,11,75541330,75564736
Nbdy,ENSMUSG00000086316,70123,protein_coding,X,152506586,152524916
Rwdd4a,ENSMUSG00000031568,192174,protein_coding,8,47986699,48005990
Fig4,ENSMUSG00000038417,103199,protein_coding,10,41064168,41179256
Atxn2l,ENSMUSG00000032637,233871,protein_coding,7,126090880,126102609
Ezh2,ENSMUSG00000029687,14056,protein_coding,6,47507073,47572275
Mrpl21,ENSMUSG00000024829,353242,protein_coding,19,3332901,3342837
Ppp2r2a,ENSMUSG00000022052,71978,protein_coding,14,67251505,67309893
D8Ertd738e,ENSMUSG00000019362,101966,protein_coding,8,84972867,84976348
Pmaip1,ENSMUSG00000024521,58801,protein_coding,18,66591604,66598636
Zic5,ENSMUSG00000041703,65100,protein_coding,14,122694207,122703089
Npat,ENSMUSG00000033054,244879,protein_coding,9,53448347,53485642
Ccdc130,ENSMUSG00000004994,67736,protein_coding,8,84984424,84997009
Crk,ENSMUSG00000017776,12928,protein_coding,11,75570085,75597734
Acot9,ENSMUSG00000025287,56360,protein_coding,X,154045439,154080650
Ywhae,ENSMUSG00000020849,22627,protein_coding,11,75623695,75656671
Camkk2,ENSMUSG00000029471,207565,protein_coding,5,122869233,122917472
Wrnip1,ENSMUSG00000021400,78903,protein_coding,13,32986021,33006592
Impa2,ENSMUSG00000024525,114663,protein_coding,18,67422256,67455542
Ppp6r3,ENSMUSG00000024908,52036,protein_coding,19,3504928,3625749
Sox12,ENSMUSG00000051817,20667,protein_coding,2,152235531,152239983
Zcchc3,ENSMUSG00000074682,67917,protein_coding,2,152253875,152256947
