mgi_symbol,ensembl_gene_id,entrezgene_id,gene_biotype,chromosome_name,start_position,end_position
,ENSMUSG00000079222,,protein_coding,GL456221.1,17591,30203
,ENSMUSG00000096808,,protein_coding,GL456221.1,151235,152734
Zfy1,ENSMUSG00000053211,22767,protein_coding,Y,725128,797409
Uba1y,ENSMUSG00000069053,22202,protein_coding,Y,818649,844224
Eif2s3y,ENSMUSG00000069049,26908,protein_coding,Y,1010543,1028847
Uty,ENSMUSG00000068457,22290,protein_coding,Y,1096861,1245759
Ddx3y,ENSMUSG00000069045,26900,protein_coding,Y,1260771,1286629
Zfy2,ENSMUSG00000000103,22768,protein_coding,Y,2106015,2170409
Dsc3,ENSMUSG00000059898,13507,protein_coding,18,20093987,20135408
Gpr156,ENSMUSG00000046961,239845,protein_coding,16,37736858,37827892
Tex43,ENSMUSG00000032900,67343,protein_coding,18,56721422,56727854
Marchf3,ENSMUSG00000032656,320253,protein_coding,18,56894788,57058620
Habp2,ENSMUSG00000025075,226243,protein_coding,19,56275569,56309254
Mep1b,ENSMUSG00000024313,17288,protein_coding,18,21194980,21233256
Efcab1,ENSMUSG00000068617,66793,protein_coding,16,14724470,14799235
Mamdc2,ENSMUSG00000033207,71738,protein_coding,19,23279973,23425806
Cfap95,ENSMUSG00000033053,67483,protein_coding,19,23536117,23630176
Tmem252,ENSMUSG00000048572,226040,protein_coding,19,24651372,24659597
Pgm5,ENSMUSG00000041731,226041,protein_coding,19,24660380,24839219
Gm1141,ENSMUSG00000073130,,protein_coding,X,70964553,70984476
Tigit,ENSMUSG00000071552,100043314,protein_coding,16,43469230,43484509
Nexmif,ENSMUSG00000046449,245555,protein_coding,X,103121040,103244791
Agrp,ENSMUSG00000005705,11604,protein_coding,8,106293330,106364025
Uprt,ENSMUSG00000073016,331487,protein_coding,X,103526424,103551096
Aoah,ENSMUSG00000021322,27052,protein_coding,13,20978283,21220787
Cd74,ENSMUSG00000024610,16149,protein_coding,18,60936920,60945724
